company_id,year,cfo_sign,cfi_sign,cff_sign,pattern_label
TCS,2013,+,-,-,Reinvestor
TCS,2014,+,-,-,Reinvestor
TCS,2015,+,-,-,Reinvestor
TCS,2016,+,-,-,Reinvestor
TCS,2017,+,-,-,Reinvestor
TCS,2018,+,+,-,Liquidating Assets
TCS,2019,+,+,-,Liquidating Assets
TCS,2020,+,+,-,Liquidating Assets
TCS,2021,+,-,-,Reinvestor
TCS,2022,+,-,-,Reinvestor
TCS,2023,+,+,-,Liquidating Assets
TCS,2024,+,+,-,Liquidating Assets
ABB,2012,+,-,-,Reinvestor
ABB,2014,+,-,-,Reinvestor
ABB,2015,+,-,-,Reinvestor
ABB,2016,+,-,-,Reinvestor
ABB,2017,+,-,-,Reinvestor
ABB,2018,+,-,-,Reinvestor
ABB,2019,+,-,-,Reinvestor
ABB,2020,+,-,-,Reinvestor
ABB,2021,+,-,-,Reinvestor
ABB,2022,+,-,-,Reinvestor
ABB,2023,+,-,-,Reinvestor
ABB,2024,+,-,-,Reinvestor
ADANIENSOL,2014,-,-,-,Pre-Revenue
ADANIENSOL,2015,-,-,+,Growth Funded by Debt
ADANIENSOL,2016,+,-,-,Reinvestor
ADANIENSOL,2017,+,-,-,Reinvestor
ADANIENSOL,2018,+,-,+,Mixed
ADANIENSOL,2019,+,-,+,Mixed
ADANIENSOL,2020,+,-,+,Mixed
ADANIENSOL,2021,+,-,-,Reinvestor
ADANIENSOL,2022,+,-,-,Reinvestor
ADANIENSOL,2023,+,-,+,Mixed
ADANIENSOL,2024,+,-,-,Reinvestor
ADANIENT,2013,+,-,+,Mixed
ADANIENT,2014,+,-,-,Reinvestor
ADANIENT,2015,+,-,+,Mixed
ADANIENT,2016,+,-,-,Reinvestor
ADANIENT,2017,+,-,+,Mixed
ADANIENT,2018,+,-,+,Mixed
ADANIENT,2019,+,+,-,Liquidating Assets
ADANIENT,2020,+,-,-,Reinvestor
ADANIENT,2021,+,-,+,Mixed
ADANIENT,2022,+,-,+,Mixed
ADANIENT,2023,+,-,-,Reinvestor
ADANIENT,2024,+,-,+,Mixed
ADANIGREEN,2017,+,-,+,Mixed
ADANIGREEN,2018,+,-,+,Mixed
ADANIGREEN,2019,+,-,+,Mixed
ADANIGREEN,2020,+,-,+,Mixed
ADANIGREEN,2021,+,-,+,Mixed
ADANIGREEN,2022,+,-,+,Mixed
ADANIGREEN,2023,+,-,-,Reinvestor
ADANIGREEN,2024,+,-,+,Mixed
ADANIPORTS,2013,+,-,+,Mixed
ADANIPORTS,2014,+,-,+,Mixed
ADANIPORTS,2015,+,-,-,Reinvestor
ADANIPORTS,2016,+,-,+,Mixed
ADANIPORTS,2017,+,-,-,Reinvestor
ADANIPORTS,2018,+,-,-,Reinvestor
ADANIPORTS,2019,+,-,+,Mixed
ADANIPORTS,2020,+,-,-,Reinvestor
ADANIPORTS,2021,+,-,+,Mixed
ADANIPORTS,2022,+,-,-,Reinvestor
ADANIPORTS,2023,+,-,-,Reinvestor
ADANIPORTS,2024,+,-,-,Reinvestor
ADANIPOWER,2013,+,-,+,Mixed
ADANIPOWER,2014,+,-,+,Mixed
ADANIPOWER,2015,+,-,-,Reinvestor
ADANIPOWER,2016,+,-,-,Reinvestor
ADANIPOWER,2017,+,-,-,Reinvestor
ADANIPOWER,2018,+,-,-,Reinvestor
ADANIPOWER,2019,+,-,-,Reinvestor
ADANIPOWER,2020,+,-,-,Reinvestor
ADANIPOWER,2021,+,-,-,Reinvestor
ADANIPOWER,2022,+,+,-,Liquidating Assets
ADANIPOWER,2023,+,+,-,Liquidating Assets
ADANIPOWER,2024,+,+,-,Liquidating Assets
AMBUJACEM,2012,+,-,-,Reinvestor
AMBUJACEM,2013,+,-,-,Reinvestor
AMBUJACEM,2014,+,-,-,Reinvestor
AMBUJACEM,2015,+,-,-,Reinvestor
AMBUJACEM,2016,+,-,-,Reinvestor
AMBUJACEM,2017,+,-,-,Reinvestor
AMBUJACEM,2018,+,-,-,Reinvestor
AMBUJACEM,2019,+,-,-,Reinvestor
AMBUJACEM,2020,+,-,-,Reinvestor
AMBUJACEM,2021,+,-,-,Reinvestor
AMBUJACEM,2023,+,-,+,Mixed
AMBUJACEM,2024,+,-,+,Mixed
APOLLOHOSP,2013,+,-,+,Mixed
APOLLOHOSP,2014,+,-,-,Reinvestor
APOLLOHOSP,2015,+,-,+,Mixed
APOLLOHOSP,2016,+,-,+,Mixed
APOLLOHOSP,2017,+,-,+,Mixed
APOLLOHOSP,2018,+,-,-,Reinvestor
APOLLOHOSP,2019,+,-,-,Reinvestor
APOLLOHOSP,2020,+,-,-,Reinvestor
APOLLOHOSP,2021,+,-,-,Reinvestor
APOLLOHOSP,2022,+,-,-,Reinvestor
APOLLOHOSP,2023,+,-,-,Reinvestor
APOLLOHOSP,2024,+,-,-,Reinvestor
ASIANPAINT,2013,+,-,-,Reinvestor
ASIANPAINT,2014,+,-,-,Reinvestor
ASIANPAINT,2015,+,-,-,Reinvestor
ASIANPAINT,2016,+,-,-,Reinvestor
ASIANPAINT,2017,+,-,-,Reinvestor
ASIANPAINT,2018,+,-,-,Reinvestor
ASIANPAINT,2019,+,-,-,Reinvestor
ASIANPAINT,2020,+,-,-,Reinvestor
ASIANPAINT,2021,+,-,-,Reinvestor
ASIANPAINT,2022,+,-,-,Reinvestor
ASIANPAINT,2023,+,-,-,Reinvestor
ASIANPAINT,2024,+,-,-,Reinvestor
AXISBANK,2013,+,-,+,Mixed
AXISBANK,2014,+,-,+,Mixed
AXISBANK,2015,-,-,+,Growth Funded by Debt
AXISBANK,2016,-,+,+,Distress Signal
AXISBANK,2017,+,-,-,Reinvestor
AXISBANK,2018,-,-,+,Growth Funded by Debt
AXISBANK,2019,+,-,+,Mixed
AXISBANK,2020,+,-,+,Mixed
AXISBANK,2021,+,-,+,Mixed
AXISBANK,2022,+,-,+,Mixed
AXISBANK,2023,+,-,+,Mixed
AXISBANK,2024,-,-,+,Growth Funded by Debt
BAJAJ-AUTO,2013,+,-,-,Reinvestor
BAJAJ-AUTO,2014,+,-,-,Reinvestor
BAJAJ-AUTO,2015,+,-,-,Reinvestor
BAJAJ-AUTO,2016,+,-,-,Reinvestor
BAJAJ-AUTO,2017,+,-,-,Reinvestor
BAJAJ-AUTO,2018,+,-,-,Reinvestor
BAJAJ-AUTO,2019,+,-,-,Reinvestor
BAJAJ-AUTO,2020,+,+,-,Liquidating Assets
BAJAJ-AUTO,2021,+,-,-,Reinvestor
BAJAJ-AUTO,2022,+,+,-,Liquidating Assets
BAJAJ-AUTO,2023,+,+,-,Liquidating Assets
BAJAJ-AUTO,2024,+,-,-,Reinvestor
BAJAJFINSV,2013,-,+,+,Distress Signal
BAJAJFINSV,2014,-,+,+,Distress Signal
BAJAJFINSV,2015,-,+,+,Distress Signal
BAJAJFINSV,2016,-,-,+,Growth Funded by Debt
BAJAJFINSV,2017,-,+,+,Distress Signal
BAJAJFINSV,2018,-,-,+,Growth Funded by Debt
BAJAJFINSV,2019,-,-,+,Growth Funded by Debt
BAJAJFINSV,2020,-,-,+,Growth Funded by Debt
BAJAJFINSV,2021,+,-,+,Mixed
BAJAJFINSV,2022,-,+,+,Distress Signal
BAJAJFINSV,2023,-,-,+,Growth Funded by Debt
BAJAJFINSV,2024,-,-,+,Growth Funded by Debt
BAJAJHLDNG,2013,+,-,-,Reinvestor
BAJAJHLDNG,2014,+,-,-,Reinvestor
BAJAJHLDNG,2015,+,-,-,Reinvestor
BAJAJHLDNG,2016,+,+,-,Liquidating Assets
BAJAJHLDNG,2017,-,-,-,Pre-Revenue
BAJAJHLDNG,2018,+,-,-,Reinvestor
BAJAJHLDNG,2019,+,-,-,Reinvestor
BAJAJHLDNG,2020,+,-,-,Reinvestor
BAJAJHLDNG,2021,+,-,-,Reinvestor
BAJAJHLDNG,2022,+,-,-,Reinvestor
BAJAJHLDNG,2023,+,-,-,Reinvestor
BAJAJHLDNG,2024,+,-,-,Reinvestor
BAJFINANCE,2015,-,-,+,Growth Funded by Debt
BAJFINANCE,2016,-,-,+,Growth Funded by Debt
BAJFINANCE,2017,-,-,+,Growth Funded by Debt
BAJFINANCE,2018,-,+,+,Distress Signal
BAJFINANCE,2019,-,-,+,Growth Funded by Debt
BAJFINANCE,2020,-,-,+,Growth Funded by Debt
BAJFINANCE,2021,-,-,+,Growth Funded by Debt
BAJFINANCE,2022,-,+,+,Distress Signal
BAJFINANCE,2023,-,-,+,Growth Funded by Debt
BAJFINANCE,2024,-,-,+,Growth Funded by Debt
BANKBARODA,2013,+,-,-,Reinvestor
BANKBARODA,2014,+,-,+,Mixed
BANKBARODA,2015,+,-,-,Reinvestor
BANKBARODA,2016,-,-,-,Pre-Revenue
BANKBARODA,2017,+,-,-,Reinvestor
BANKBARODA,2018,-,-,+,Growth Funded by Debt
BANKBARODA,2019,-,-,+,Growth Funded by Debt
BANKBARODA,2020,+,-,+,Mixed
BANKBARODA,2021,-,-,-,Pre-Revenue
BANKBARODA,2022,+,-,-,Reinvestor
BANKBARODA,2023,-,-,-,Pre-Revenue
BANKBARODA,2024,-,-,+,Growth Funded by Debt
BEL,2013,-,+,-,Unknown
BEL,2014,-,+,-,Unknown
BEL,2015,+,-,-,Reinvestor
BEL,2016,+,-,-,Reinvestor
BEL,2017,-,+,-,Unknown
BEL,2018,-,-,-,Pre-Revenue
BEL,2019,+,-,-,Reinvestor
BEL,2020,+,-,-,Reinvestor
BEL,2021,+,-,-,Reinvestor
BEL,2022,+,-,-,Reinvestor
BEL,2023,+,+,-,Liquidating Assets
BEL,2024,+,-,-,Reinvestor
BHARTIARTL,2013,+,-,-,Reinvestor
BHARTIARTL,2014,+,-,+,Mixed
BHARTIARTL,2015,+,-,-,Reinvestor
BHARTIARTL,2016,+,-,-,Reinvestor
BHARTIARTL,2017,+,-,-,Reinvestor
BHARTIARTL,2018,+,-,+,Mixed
BHARTIARTL,2019,+,-,+,Mixed
BHARTIARTL,2020,+,-,+,Mixed
BHARTIARTL,2021,+,-,-,Reinvestor
BHARTIARTL,2022,+,-,-,Reinvestor
BHARTIARTL,2023,+,-,-,Reinvestor
BHARTIARTL,2024,+,-,-,Reinvestor
BHEL,2013,+,-,+,Mixed
BHEL,2014,+,-,+,Mixed
BHEL,2015,+,+,-,Liquidating Assets
BHEL,2016,+,+,-,Liquidating Assets
BHEL,2017,+,-,-,Reinvestor
BHEL,2018,+,+,-,Liquidating Assets
BHEL,2019,-,+,-,Unknown
BHEL,2020,-,+,+,Distress Signal
BHEL,2021,+,-,-,Reinvestor
BHEL,2022,+,-,-,Reinvestor
BHEL,2023,-,+,+,Distress Signal
BHEL,2024,-,+,+,Distress Signal
BOSCHLTD,2012,+,-,-,Reinvestor
BOSCHLTD,2013,+,-,-,Reinvestor
BOSCHLTD,2015,+,-,-,Reinvestor
BOSCHLTD,2016,+,-,-,Reinvestor
BOSCHLTD,2017,+,+,-,Liquidating Assets
BOSCHLTD,2018,+,-,-,Reinvestor
BOSCHLTD,2019,+,+,-,Liquidating Assets
BOSCHLTD,2020,+,-,-,Reinvestor
BOSCHLTD,2021,+,-,-,Reinvestor
BOSCHLTD,2022,+,-,-,Reinvestor
BOSCHLTD,2023,+,+,-,Liquidating Assets
BOSCHLTD,2024,+,+,-,Liquidating Assets
BPCL,2013,+,-,-,Reinvestor
BPCL,2014,+,-,-,Reinvestor
BPCL,2015,+,-,-,Reinvestor
BPCL,2016,+,-,-,Reinvestor
BPCL,2017,+,-,+,Mixed
BPCL,2018,+,-,-,Reinvestor
BPCL,2019,+,-,+,Mixed
BPCL,2020,+,-,+,Mixed
BPCL,2021,+,-,-,Reinvestor
BPCL,2022,+,-,-,Reinvestor
BPCL,2023,+,-,-,Reinvestor
BPCL,2024,+,-,-,Reinvestor
BRITANNIA,2013,+,+,-,Liquidating Assets
BRITANNIA,2014,+,-,-,Reinvestor
BRITANNIA,2015,+,-,-,Reinvestor
BRITANNIA,2016,+,-,-,Reinvestor
BRITANNIA,2017,+,-,-,Reinvestor
BRITANNIA,2018,+,-,-,Reinvestor
BRITANNIA,2019,+,-,-,Reinvestor
BRITANNIA,2020,+,-,+,Mixed
BRITANNIA,2021,+,+,-,Liquidating Assets
BRITANNIA,2022,+,+,-,Liquidating Assets
BRITANNIA,2023,+,-,-,Reinvestor
BRITANNIA,2024,+,+,-,Liquidating Assets
CANBK,2013,+,-,-,Reinvestor
CANBK,2014,+,-,-,Reinvestor
CANBK,2015,+,-,-,Reinvestor
CANBK,2016,+,-,-,Reinvestor
CANBK,2017,+,-,+,Mixed
CANBK,2018,-,-,+,Growth Funded by Debt
CANBK,2019,+,-,-,Reinvestor
CANBK,2020,-,-,+,Growth Funded by Debt
CANBK,2021,+,-,+,Mixed
CANBK,2022,+,-,+,Mixed
CANBK,2023,-,-,+,Growth Funded by Debt
CANBK,2024,+,-,-,Reinvestor
CHOLAFIN,2013,-,+,+,Distress Signal
CHOLAFIN,2014,-,-,+,Growth Funded by Debt
CHOLAFIN,2015,-,-,+,Growth Funded by Debt
CHOLAFIN,2016,-,-,+,Growth Funded by Debt
CHOLAFIN,2017,-,-,+,Growth Funded by Debt
CHOLAFIN,2018,-,-,+,Growth Funded by Debt
CHOLAFIN,2019,-,-,+,Growth Funded by Debt
CHOLAFIN,2020,-,-,+,Growth Funded by Debt
CHOLAFIN,2021,-,-,+,Growth Funded by Debt
CHOLAFIN,2022,-,+,+,Distress Signal
CHOLAFIN,2023,-,-,+,Growth Funded by Debt
CHOLAFIN,2024,-,-,+,Growth Funded by Debt
CIPLA,2013,+,-,+,Mixed
CIPLA,2014,+,-,-,Reinvestor
CIPLA,2015,+,-,+,Mixed
CIPLA,2016,+,-,+,Mixed
CIPLA,2017,+,-,-,Reinvestor
CIPLA,2018,+,-,-,Reinvestor
CIPLA,2019,+,-,-,Reinvestor
CIPLA,2020,+,+,-,Liquidating Assets
CIPLA,2021,+,-,-,Reinvestor
CIPLA,2022,+,-,-,Reinvestor
CIPLA,2023,+,-,-,Reinvestor
CIPLA,2024,+,-,-,Reinvestor
COALINDIA,2013,+,-,-,Reinvestor
COALINDIA,2014,+,+,-,Liquidating Assets
COALINDIA,2015,+,+,-,Liquidating Assets
COALINDIA,2016,+,+,-,Liquidating Assets
COALINDIA,2017,+,+,-,Liquidating Assets
COALINDIA,2018,+,-,-,Reinvestor
COALINDIA,2019,+,-,-,Reinvestor
COALINDIA,2020,+,+,-,Liquidating Assets
COALINDIA,2021,+,+,-,Liquidating Assets
COALINDIA,2022,+,-,-,Reinvestor
COALINDIA,2023,+,-,-,Reinvestor
COALINDIA,2024,+,-,-,Reinvestor
DABUR,2013,+,-,-,Reinvestor
DABUR,2014,+,-,-,Reinvestor
DABUR,2015,+,-,-,Reinvestor
DABUR,2016,+,-,-,Reinvestor
DABUR,2017,+,-,-,Reinvestor
DABUR,2018,+,-,-,Reinvestor
DABUR,2019,+,+,-,Liquidating Assets
DABUR,2020,+,-,-,Reinvestor
DABUR,2021,+,-,-,Reinvestor
DABUR,2022,+,-,-,Reinvestor
DABUR,2023,+,-,-,Reinvestor
DABUR,2024,+,-,-,Reinvestor
DIVISLAB,2013,+,-,-,Reinvestor
DIVISLAB,2014,+,-,-,Reinvestor
DIVISLAB,2015,+,-,-,Reinvestor
DIVISLAB,2016,+,-,-,Reinvestor
DIVISLAB,2017,+,-,+,Mixed
DIVISLAB,2018,+,-,-,Reinvestor
DIVISLAB,2019,+,-,-,Reinvestor
DIVISLAB,2020,+,-,-,Reinvestor
DIVISLAB,2021,+,+,-,Liquidating Assets
DIVISLAB,2022,+,-,-,Reinvestor
DIVISLAB,2023,+,-,-,Reinvestor
DIVISLAB,2024,+,-,-,Reinvestor
DLF,2013,+,+,-,Liquidating Assets
DLF,2014,+,+,-,Liquidating Assets
DLF,2015,+,+,-,Liquidating Assets
DLF,2016,+,-,-,Reinvestor
DLF,2017,-,+,+,Distress Signal
DLF,2018,+,-,-,Reinvestor
DLF,2019,+,+,+,Cash Accumulator
DLF,2020,+,+,-,Liquidating Assets
DLF,2021,+,+,-,Liquidating Assets
DLF,2022,+,+,-,Liquidating Assets
DLF,2023,+,-,-,Reinvestor
DLF,2024,+,-,+,Mixed
DMART,2013,+,-,+,Mixed
DMART,2014,+,-,+,Mixed
DMART,2015,+,-,+,Mixed
DMART,2016,+,-,+,Mixed
DMART,2017,+,-,+,Mixed
DMART,2018,+,+,-,Liquidating Assets
DMART,2019,+,-,+,Mixed
DMART,2020,+,-,+,Mixed
DMART,2021,+,-,-,Reinvestor
DMART,2022,+,-,-,Reinvestor
DMART,2023,+,-,-,Reinvestor
DMART,2024,+,-,-,Reinvestor
DRREDDY,2013,+,-,-,Reinvestor
DRREDDY,2014,+,-,-,Reinvestor
DRREDDY,2015,+,-,-,Reinvestor
DRREDDY,2016,+,-,-,Reinvestor
DRREDDY,2017,+,-,-,Reinvestor
DRREDDY,2018,+,-,-,Reinvestor
DRREDDY,2019,+,-,-,Reinvestor
DRREDDY,2020,+,-,-,Reinvestor
DRREDDY,2021,+,-,-,Reinvestor
DRREDDY,2022,+,-,-,Reinvestor
DRREDDY,2023,+,-,-,Reinvestor
DRREDDY,2024,+,-,-,Reinvestor
EICHERMOT,2012,+,-,-,Reinvestor
EICHERMOT,2013,+,-,-,Reinvestor
EICHERMOT,2014,+,-,-,Reinvestor
EICHERMOT,2016,+,-,-,Reinvestor
EICHERMOT,2017,+,-,+,Mixed
EICHERMOT,2018,+,-,-,Reinvestor
EICHERMOT,2019,+,-,-,Reinvestor
EICHERMOT,2020,+,-,-,Reinvestor
EICHERMOT,2021,+,-,-,Reinvestor
EICHERMOT,2022,+,-,-,Reinvestor
EICHERMOT,2023,+,-,-,Reinvestor
EICHERMOT,2024,+,-,-,Reinvestor
GAIL,2013,+,-,+,Mixed
GAIL,2014,+,-,-,Reinvestor
GAIL,2015,+,-,-,Reinvestor
GAIL,2016,+,-,-,Reinvestor
GAIL,2017,+,-,-,Reinvestor
GAIL,2018,+,-,-,Reinvestor
GAIL,2019,+,-,-,Reinvestor
GAIL,2020,+,-,+,Mixed
GAIL,2021,+,-,-,Reinvestor
GAIL,2022,+,-,-,Reinvestor
GAIL,2023,+,-,+,Mixed
GAIL,2024,+,-,-,Reinvestor
GODREJCP,2013,+,-,+,Mixed
GODREJCP,2014,+,-,-,Reinvestor
GODREJCP,2015,+,-,-,Reinvestor
GODREJCP,2016,+,-,-,Reinvestor
GODREJCP,2017,+,-,+,Mixed
GODREJCP,2018,+,-,-,Reinvestor
GODREJCP,2019,+,+,-,Liquidating Assets
GODREJCP,2020,+,-,-,Reinvestor
GODREJCP,2021,+,-,-,Reinvestor
GODREJCP,2022,+,-,-,Reinvestor
GODREJCP,2023,+,-,-,Reinvestor
GODREJCP,2024,+,-,+,Mixed
GRASIM,2013,+,-,+,Mixed
GRASIM,2014,+,-,-,Reinvestor
GRASIM,2015,+,-,-,Reinvestor
GRASIM,2016,+,-,-,Reinvestor
GRASIM,2017,+,-,-,Reinvestor
GRASIM,2018,-,+,+,Distress Signal
GRASIM,2019,-,-,+,Growth Funded by Debt
GRASIM,2020,+,-,-,Reinvestor
GRASIM,2021,+,-,-,Reinvestor
GRASIM,2022,+,-,-,Reinvestor
GRASIM,2023,-,-,+,Growth Funded by Debt
GRASIM,2024,-,-,+,Growth Funded by Debt
HAL,2017,-,+,-,Unknown
HAL,2018,-,+,-,Unknown
HAL,2019,-,+,+,Distress Signal
HAL,2020,+,-,+,Mixed
HAL,2021,+,-,-,Reinvestor
HAL,2022,+,-,-,Reinvestor
HAL,2023,+,-,-,Reinvestor
HAL,2024,+,-,-,Reinvestor
HAVELLS,2013,+,-,-,Reinvestor
HAVELLS,2014,+,-,-,Reinvestor
HAVELLS,2015,+,-,-,Reinvestor
HAVELLS,2016,+,-,-,Reinvestor
HAVELLS,2017,+,-,-,Reinvestor
HAVELLS,2018,+,-,-,Reinvestor
HAVELLS,2019,+,+,-,Liquidating Assets
HAVELLS,2020,+,-,-,Reinvestor
HAVELLS,2021,+,-,+,Mixed
HAVELLS,2022,+,-,-,Reinvestor
HAVELLS,2023,+,+,-,Liquidating Assets
HAVELLS,2024,+,-,-,Reinvestor
HCLTECH,2013,+,-,-,Reinvestor
HCLTECH,2014,+,-,-,Reinvestor
HCLTECH,2015,+,-,-,Reinvestor
HCLTECH,2016,+,-,-,Reinvestor
HCLTECH,2017,+,-,-,Reinvestor
HCLTECH,2018,+,-,-,Reinvestor
HCLTECH,2019,+,-,-,Reinvestor
HCLTECH,2020,+,-,-,Reinvestor
HCLTECH,2021,+,-,-,Reinvestor
HCLTECH,2022,+,+,-,Liquidating Assets
HCLTECH,2023,+,-,-,Reinvestor
HCLTECH,2024,+,-,-,Reinvestor
HDFCBANK,2013,-,-,+,Growth Funded by Debt
HDFCBANK,2014,+,-,+,Mixed
HDFCBANK,2015,-,-,+,Growth Funded by Debt
HDFCBANK,2016,-,-,+,Growth Funded by Debt
HDFCBANK,2017,+,-,-,Reinvestor
HDFCBANK,2018,+,-,+,Mixed
HDFCBANK,2019,-,-,+,Growth Funded by Debt
HDFCBANK,2020,-,-,+,Growth Funded by Debt
HDFCBANK,2021,+,-,-,Reinvestor
HDFCBANK,2022,-,-,+,Growth Funded by Debt
HDFCBANK,2023,+,-,+,Mixed
HDFCBANK,2024,+,+,-,Liquidating Assets
HDFCLIFE,2013,-,-,-,Pre-Revenue
HDFCLIFE,2014,-,-,-,Pre-Revenue
HDFCLIFE,2015,+,-,-,Reinvestor
HDFCLIFE,2016,+,-,-,Reinvestor
HDFCLIFE,2017,+,-,-,Reinvestor
HDFCLIFE,2018,+,-,-,Reinvestor
HDFCLIFE,2019,+,-,-,Reinvestor
HDFCLIFE,2020,+,-,+,Mixed
HDFCLIFE,2021,+,-,+,Mixed
HDFCLIFE,2022,+,-,-,Reinvestor
HDFCLIFE,2023,+,-,+,Mixed
HDFCLIFE,2024,+,-,-,Reinvestor
HEROMOTOCO,2014,+,-,-,Reinvestor
HEROMOTOCO,2015,+,+,-,Liquidating Assets
HEROMOTOCO,2016,+,-,-,Reinvestor
HEROMOTOCO,2017,+,-,-,Reinvestor
HEROMOTOCO,2018,+,-,-,Reinvestor
HEROMOTOCO,2019,+,+,-,Liquidating Assets
HEROMOTOCO,2020,+,-,-,Reinvestor
HEROMOTOCO,2021,+,-,-,Reinvestor
HEROMOTOCO,2022,+,-,-,Reinvestor
HEROMOTOCO,2023,+,-,-,Reinvestor
HEROMOTOCO,2024,+,-,-,Reinvestor
HINDALCO,2013,+,-,+,Mixed
HINDALCO,2014,+,-,+,Mixed
HINDALCO,2015,+,-,-,Reinvestor
HINDALCO,2016,+,-,-,Reinvestor
HINDALCO,2017,+,-,-,Reinvestor
HINDALCO,2018,+,+,-,Liquidating Assets
HINDALCO,2019,+,-,-,Reinvestor
HINDALCO,2020,+,-,+,Mixed
HINDALCO,2021,+,-,-,Reinvestor
HINDALCO,2022,+,-,-,Reinvestor
HINDALCO,2023,+,-,-,Reinvestor
HINDALCO,2024,+,-,-,Reinvestor
HINDUNILVR,2013,+,+,-,Liquidating Assets
HINDUNILVR,2014,+,-,-,Reinvestor
HINDUNILVR,2015,+,+,-,Liquidating Assets
HINDUNILVR,2016,+,-,-,Reinvestor
HINDUNILVR,2017,+,-,-,Reinvestor
HINDUNILVR,2018,+,-,-,Reinvestor
HINDUNILVR,2019,+,-,-,Reinvestor
HINDUNILVR,2020,+,+,-,Liquidating Assets
HINDUNILVR,2021,+,-,-,Reinvestor
HINDUNILVR,2022,+,-,-,Reinvestor
HINDUNILVR,2023,+,-,-,Reinvestor
HINDUNILVR,2024,+,-,-,Reinvestor
ICICIBANK,2013,+,-,+,Mixed
ICICIBANK,2014,+,-,+,Mixed
ICICIBANK,2015,-,-,+,Growth Funded by Debt
ICICIBANK,2016,+,-,+,Mixed
ICICIBANK,2017,+,-,-,Reinvestor
ICICIBANK,2018,+,-,+,Mixed
ICICIBANK,2019,+,-,-,Reinvestor
ICICIBANK,2020,+,-,+,Mixed
ICICIBANK,2021,+,-,-,Reinvestor
ICICIBANK,2022,+,-,+,Mixed
ICICIBANK,2023,-,-,+,Growth Funded by Debt
ICICIBANK,2024,+,-,+,Mixed
ICICIGI,2013,+,-,+,Mixed
ICICIGI,2014,+,-,+,Mixed
ICICIGI,2015,-,+,-,Unknown
